ID;label;type;containedBy;function
4b544750-c1f0-4433-a01a-7bb989cda99a;TU/e Campus;Site;;
dfdb5fe2-7afe-479a-805b-a183d24632bd;Vertigo;Building;4b544750-c1f0-4433-a01a-7bb989cda99a;
08771d78-83dd-4124-bdfe-e5bdf8b13370;Basement;Storey;dfdb5fe2-7afe-479a-805b-a183d24632bd;
c2dc1a3e-56c6-4d29-836e-78fa6efc57c5;Ground floor;Storey;dfdb5fe2-7afe-479a-805b-a183d24632bd;
88ba3eaa-aa23-48e2-8e59-889b4ba5f774;1st floor;Storey;dfdb5fe2-7afe-479a-805b-a183d24632bd;
19550a47-5401-4d01-a4b1-7e8691061fd4;2nd floor;Storey;dfdb5fe2-7afe-479a-805b-a183d24632bd;
5228b933-0e1e-4c55-b412-d7bccb0ea8c3;3rd floor;Storey;dfdb5fe2-7afe-479a-805b-a183d24632bd;
03b3e658-4a75-4f7d-87f1-d3f15d5bc612;4th floor;Storey;dfdb5fe2-7afe-479a-805b-a183d24632bd;
a2be5dfa-e964-4aaa-9b9c-82a61c61457f;5th floor;Storey;dfdb5fe2-7afe-479a-805b-a183d24632bd;
5f978e36-2a17-4c3d-b940-85842c770539;6th floor;Storey;dfdb5fe2-7afe-479a-805b-a183d24632bd;
cde21073-bb5b-4804-b05f-072dd6685c54;7th floor;Storey;dfdb5fe2-7afe-479a-805b-a183d24632bd;
8eb61f9d-af3e-43c2-b0a5-bfdfe6d1e7fb;8th floor;Storey;dfdb5fe2-7afe-479a-805b-a183d24632bd;
ced05a83-61cc-4d63-91e0-256011e401eb;9th floor;Storey;dfdb5fe2-7afe-479a-805b-a183d24632bd;
cab612e5-a986-4dce-84a9-3acb9103fbfe;Skybar;Space;08771d78-83dd-4124-bdfe-e5bdf8b13370;Bar
49b82bd2-80dc-4061-bd07-4c5a5f9a4f17;North hallway basement;Space;08771d78-83dd-4124-bdfe-e5bdf8b13370;Hallway
82815c1a-fde6-45ee-9b9d-cc4b737c3f5d;West hallway basement;Space;08771d78-83dd-4124-bdfe-e5bdf8b13370;Hallway
1bd2d917-505b-4f33-b1ed-c52eeb23b1f8;Toilet basement;Space;08771d78-83dd-4124-bdfe-e5bdf8b13370;Toilet
673c7ec1-abba-48f9-a65b-15e555f2f11b;Lecture theater;Space;c2dc1a3e-56c6-4d29-836e-78fa6efc57c5;Meeting room
aac9082d-ec38-48be-b336-c8ad75eee7bd;North hallway Ground floor;Space;c2dc1a3e-56c6-4d29-836e-78fa6efc57c5;Hallway
10ea9be0-d3ca-48f0-bcba-7016e3274c64;West hallway Ground floor;Space;c2dc1a3e-56c6-4d29-836e-78fa6efc57c5;Hallway
329a4928-a9c8-4405-98c9-8e946f2d300c;Room 0.t61;Space;c2dc1a3e-56c6-4d29-836e-78fa6efc57c5;Toilet
6974e999-034e-4f1a-896a-ad7f32a9b0a1;Room 0.t62;Space;c2dc1a3e-56c6-4d29-836e-78fa6efc57c5;Toilet
e8b89037-77d6-4ee9-b72c-2ee07b8b6157;Room 0.t63;Space;c2dc1a3e-56c6-4d29-836e-78fa6efc57c5;Toilet
6238d798-a0c8-4776-81b5-3efa1d41ab19;Room 0.t64;Space;c2dc1a3e-56c6-4d29-836e-78fa6efc57c5;Toilet
db311e18-d610-45ac-ad54-4516f565265b;Main exchibition area ground floor;Space;88ba3eaa-aa23-48e2-8e59-889b4ba5f774;Hall
45d1f966-f1bb-474b-a28e-b6aa959d0e78;CHEOPS room;Space;88ba3eaa-aa23-48e2-8e59-889b4ba5f774;Workspace
2e3135c2-50f9-40ed-aa43-074764fb2734;Café ground floor;Space;88ba3eaa-aa23-48e2-8e59-889b4ba5f774;Café
b2703f52-1bef-4d48-a88d-82640c76fce9;West Workspace 1st floor;Space;88ba3eaa-aa23-48e2-8e59-889b4ba5f774;Workspace
68818dec-7be0-4e0b-b4dd-a455d7f8e59b;North hallway 1st floor;Space;88ba3eaa-aa23-48e2-8e59-889b4ba5f774;Hallway
e488a395-eb1f-4341-b7c4-e18cc5c1238e;West hallway 1st floor;Space;88ba3eaa-aa23-48e2-8e59-889b4ba5f774;Hallway
e388d2fb-bdcf-49a3-8afe-03c50897a551;Room 1.t61;Space;88ba3eaa-aa23-48e2-8e59-889b4ba5f774;Toilet
89800161-bb9e-4e45-a3fb-3c6b64d68d53;Room 1.t62;Space;88ba3eaa-aa23-48e2-8e59-889b4ba5f774;Toilet
78255761-3004-45d0-9971-ca7447c0698b;Room 1.t63;Space;88ba3eaa-aa23-48e2-8e59-889b4ba5f774;Toilet
0375f0f3-7341-43c8-90b4-85564a0605a1;Room 1.t64;Space;88ba3eaa-aa23-48e2-8e59-889b4ba5f774;Toilet
841621c5-30c7-4404-ab54-5f445f3c4f54;Room 1.t65;Space;88ba3eaa-aa23-48e2-8e59-889b4ba5f774;Toilet
18d9795b-3b83-4f0d-b499-008b219b1659;East Workspace 2nd floor;Space;19550a47-5401-4d01-a4b1-7e8691061fd4;Workspace
ff8dab0c-e16e-4fb6-b7d4-15cc5637e3bc;Boards room;Space;19550a47-5401-4d01-a4b1-7e8691061fd4;Workspace
c43703b8-d1d3-4cf4-a311-c352357c8308;Room 2.17;Space;19550a47-5401-4d01-a4b1-7e8691061fd4;Meeting room
9fdab3a3-fc8d-412d-8eb3-8202dfb4d466;Room 2.18;Space;19550a47-5401-4d01-a4b1-7e8691061fd4;Meeting room
8eaab2a6-83c0-4581-a578-5786120b7f63;Room 2.19;Space;19550a47-5401-4d01-a4b1-7e8691061fd4;Meeting room
29bead22-c49a-44b0-a0de-f7c46b052cab;Room 2.20;Space;19550a47-5401-4d01-a4b1-7e8691061fd4;Meeting room
840a2426-cc11-499d-941f-c658eb17b1cd;Room 2.t61;Space;19550a47-5401-4d01-a4b1-7e8691061fd4;Toilet
bfc318f1-5b23-4817-9034-255705715e03;Room 2.t62;Space;19550a47-5401-4d01-a4b1-7e8691061fd4;Toilet
9108605f-5260-4212-801f-07fe0f485adc;Room 2.t63;Space;19550a47-5401-4d01-a4b1-7e8691061fd4;Toilet
345bb88b-4077-4059-9832-8a5447488bcd;Room 2.t64;Space;19550a47-5401-4d01-a4b1-7e8691061fd4;Toilet
0275aa60-62bb-49ca-baaf-40e078db0989;Room 2.t65;Space;19550a47-5401-4d01-a4b1-7e8691061fd4;Toilet
0677d6ca-be87-4675-ac5e-fb4d038064fc;North hallway 2nd floor;Space;19550a47-5401-4d01-a4b1-7e8691061fd4;Corridor
460a3cdb-e1a5-4659-8a48-ab24d7799bd2;South hallway 2nd floor;Space;19550a47-5401-4d01-a4b1-7e8691061fd4;Corridor
be6eded6-a45e-4c12-9110-fb3b9adff9ad;West hallway 2nd floor;Space;19550a47-5401-4d01-a4b1-7e8691061fd4;Corridor
2400bac6-9e1d-4bbc-87fb-fb9080bd55a7;Room 2.12-a;Space;19550a47-5401-4d01-a4b1-7e8691061fd4;Workspace
5e98be69-35b7-4487-a862-12e8b02242e6;Room 2.12-b;Space;19550a47-5401-4d01-a4b1-7e8691061fd4;Workspace
53435981-8ba6-4423-b569-e686bd1f0e7a;Room 2.06;Space;19550a47-5401-4d01-a4b1-7e8691061fd4;Workspace
392911f6-4457-48c7-92ce-964988250db3;Room 2.09;Space;19550a47-5401-4d01-a4b1-7e8691061fd4;Workspace
9f7722d1-925b-4cbb-9338-6353e0d53098;East Workspace 3rd floor;Space;5228b933-0e1e-4c55-b412-d7bccb0ea8c3;Workspace
576e35d0-3297-4f2e-a15f-0906863fde5c;West Workspace 3rd floor;Space;5228b933-0e1e-4c55-b412-d7bccb0ea8c3;Workspace
f3659c5d-b993-4c11-b5ef-9a0c4f67d18e;Room 3.17;Space;5228b933-0e1e-4c55-b412-d7bccb0ea8c3;Meeting room
39522b40-455d-48ef-bcbe-f2d9e6129809;Room 3.18;Space;5228b933-0e1e-4c55-b412-d7bccb0ea8c3;Meeting room
a85a61d0-2753-47c0-a986-222219eebc41;Room 3.19;Space;5228b933-0e1e-4c55-b412-d7bccb0ea8c3;Meeting room
a420bc4e-48e4-43ee-9f57-cf8c1f68ca2b;Room 3.20;Space;5228b933-0e1e-4c55-b412-d7bccb0ea8c3;Meeting room
1bc25cab-7324-44d7-9bf3-afd94ba63c94;Room 3.t61;Space;5228b933-0e1e-4c55-b412-d7bccb0ea8c3;Toilet
0805f4a1-a9c7-438b-82c8-47e2a6e4bb6a;Room 3.t62;Space;5228b933-0e1e-4c55-b412-d7bccb0ea8c3;Toilet
03bbef3a-bd4f-4933-ac38-533366f47512;Room 3.t63;Space;5228b933-0e1e-4c55-b412-d7bccb0ea8c3;Toilet
3f804704-8221-4a59-a1bf-50cb617b7b8c;Room 3.t64;Space;5228b933-0e1e-4c55-b412-d7bccb0ea8c3;Toilet
f260b4ea-737e-4651-8c7f-01fd10566539;Room 3.t65;Space;5228b933-0e1e-4c55-b412-d7bccb0ea8c3;Toilet
3e94f32b-46a5-4cc5-9508-056c277eae7b;North hallway 3rd floor;Space;5228b933-0e1e-4c55-b412-d7bccb0ea8c3;Corridor
8a3a9c49-1724-4480-9472-87a0b0c65e1c;South hallway 3rd floor;Space;5228b933-0e1e-4c55-b412-d7bccb0ea8c3;Corridor
d277f0c6-2657-476c-aeac-c528bcc0a8de;East Workspace 4th floor;Space;03b3e658-4a75-4f7d-87f1-d3f15d5bc612;Workspace
fc32d7d0-8814-4d12-9ee9-e1f7d8f97a04;West Workspace 4th floor;Space;03b3e658-4a75-4f7d-87f1-d3f15d5bc612;Workspace
443b7343-febe-4ab2-868d-f14edbc56560;Room 4.17;Space;03b3e658-4a75-4f7d-87f1-d3f15d5bc612;Meeting room
3592a898-1828-4b03-b0c8-9e44430f9480;Room 4.18;Space;03b3e658-4a75-4f7d-87f1-d3f15d5bc612;Meeting room
b46dee3e-9dc3-4c7e-94a0-1f438d81319d;Room 4.19;Space;03b3e658-4a75-4f7d-87f1-d3f15d5bc612;Meeting room
d3400219-78c0-4186-98f7-06b94ba42df7;Room 4.20;Space;03b3e658-4a75-4f7d-87f1-d3f15d5bc612;Meeting room
f9254bdb-0796-4359-bd47-bed412ed8445;Room 4.t61;Space;03b3e658-4a75-4f7d-87f1-d3f15d5bc612;Toilet
bf25a0e3-2ced-4f38-a933-6f2ca91256cd;Room 4.t62;Space;03b3e658-4a75-4f7d-87f1-d3f15d5bc612;Toilet
32f0f7c4-19e5-4f13-a07d-109615782446;Room 4.t63;Space;03b3e658-4a75-4f7d-87f1-d3f15d5bc612;Toilet
05eb5031-377f-4153-a866-1af096c3a80c;Room 4.t64;Space;03b3e658-4a75-4f7d-87f1-d3f15d5bc612;Toilet
f8acbc5b-b600-4aef-9e03-68426f87219d;Room 4.t65;Space;03b3e658-4a75-4f7d-87f1-d3f15d5bc612;Toilet
5f25ad7d-d3b7-4b05-9d6b-1fbe2fd04a33;North hallway 4th floor;Space;03b3e658-4a75-4f7d-87f1-d3f15d5bc612;Corridor
46b51aa2-3894-4895-9548-8ac09938dd4f;South hallway 4th floor;Space;03b3e658-4a75-4f7d-87f1-d3f15d5bc612;Corridor
6b6d15d3-6ea6-41f1-9e86-75260c9a2419;East Workspace 5th floor;Space;a2be5dfa-e964-4aaa-9b9c-82a61c61457f;Workspace
7a86f919-f45d-4889-8773-ebfa355023cf;West Workspace 5th floor;Space;a2be5dfa-e964-4aaa-9b9c-82a61c61457f;Workspace
3096acf6-9775-4b69-b87e-397a80e74fe1;Room 5.17;Space;a2be5dfa-e964-4aaa-9b9c-82a61c61457f;Meeting room
ace9dd8e-4771-4804-918e-40c44f07313c;Room 5.18;Space;a2be5dfa-e964-4aaa-9b9c-82a61c61457f;Meeting room
2c2382e4-13f3-43b1-be7e-d84f5f44a47d;Room 5.19;Space;a2be5dfa-e964-4aaa-9b9c-82a61c61457f;Meeting room
617af63d-7dac-4721-91cd-24fc359b18be;Room 5.20;Space;a2be5dfa-e964-4aaa-9b9c-82a61c61457f;Meeting room
10b9d657-47cd-43ed-8c58-10cd3d74f1c8;Room 5.t61;Space;a2be5dfa-e964-4aaa-9b9c-82a61c61457f;Toilet
273d2ca1-c36c-4362-b9ab-5cb391d10ce0;Room 5.t62;Space;a2be5dfa-e964-4aaa-9b9c-82a61c61457f;Toilet
0b4ebc6e-48fc-4da3-b575-49192d18dd1f;Room 5.t63;Space;a2be5dfa-e964-4aaa-9b9c-82a61c61457f;Toilet
65f15600-0477-48f4-9735-e3b7359daaad;Room 5.t64;Space;a2be5dfa-e964-4aaa-9b9c-82a61c61457f;Toilet
18e9b03e-ae61-4600-a0c3-4bf9227356c6;Room 5.t65;Space;a2be5dfa-e964-4aaa-9b9c-82a61c61457f;Toilet
52c9e024-5b31-475a-a0d9-4eb8bf665a40;North hallway 5th floor;Space;a2be5dfa-e964-4aaa-9b9c-82a61c61457f;Corridor
c017c1c0-c05d-4d4d-96eb-835b3413e1f6;South hallway 5th floor;Space;a2be5dfa-e964-4aaa-9b9c-82a61c61457f;Corridor
19d5283d-6929-49fb-b633-c8eb35e0b6b1;Room 6.01;Space;5f978e36-2a17-4c3d-b940-85842c770539;Workspace
0fdb3e82-b1e4-4c13-ab75-3fb762b9c69b;Room 6.02;Space;5f978e36-2a17-4c3d-b940-85842c770539;Workspace
4f01fa56-9b6d-4f42-9f43-6c3604824c25;Room 6.03;Space;5f978e36-2a17-4c3d-b940-85842c770539;Workspace
d102a011-0d76-45df-8a9c-183a6a2841e2;Room 6.04;Space;5f978e36-2a17-4c3d-b940-85842c770539;Workspace
b219b8f0-167f-43d0-ac3e-c57e4bd7a51b;Room 6.05;Space;5f978e36-2a17-4c3d-b940-85842c770539;Workspace
f8ab6e32-afd9-4f5a-9a8b-a8e842008c28;Room 6.06;Space;5f978e36-2a17-4c3d-b940-85842c770539;Workspace
d06adc7f-32f6-4938-9f5c-b2c746ffa1aa;Room 6.07;Space;5f978e36-2a17-4c3d-b940-85842c770539;Workspace
ea102f0e-36e0-4992-b750-30a2c7713a8e;Room 6.08;Space;5f978e36-2a17-4c3d-b940-85842c770539;Workspace
ebff0e51-6477-44d5-8858-22bc1350902c;Room 6.09;Space;5f978e36-2a17-4c3d-b940-85842c770539;Workspace
1608705e-00ca-41c5-8523-07aebcf2b6a6;Room 6.10;Space;5f978e36-2a17-4c3d-b940-85842c770539;Workspace
8205e17e-fccc-41d1-a1b3-652e61a7e25c;Room 6.11;Space;5f978e36-2a17-4c3d-b940-85842c770539;Workspace
3532faf8-7eb5-4d6d-b353-f7aa2a44e80e;Room 6.12;Space;5f978e36-2a17-4c3d-b940-85842c770539;Workspace
18f5eeef-0c8c-47ad-bade-09ce48cf1fd4;Room 6.13;Space;5f978e36-2a17-4c3d-b940-85842c770539;Workspace
ea7e4408-4340-45ce-9492-573b74be0260;Room 6.14;Space;5f978e36-2a17-4c3d-b940-85842c770539;Workspace
13360183-4af0-4be2-b092-bbfa81ef6e51;Room 6.15;Space;5f978e36-2a17-4c3d-b940-85842c770539;Workspace
306b5ef6-7760-4ac5-98fa-988fa53740d3;Room 6.16;Space;5f978e36-2a17-4c3d-b940-85842c770539;Workspace
38b3d64f-96c4-4e07-80ce-34d5ec3df606;Room 6.17;Space;5f978e36-2a17-4c3d-b940-85842c770539;Workspace
5624d6af-78f3-4f74-94d2-cd94e13bb085;Room 6.18;Space;5f978e36-2a17-4c3d-b940-85842c770539;Workspace
39041bd3-1e2e-4da7-a7af-baeaef7334bb;Room 6.19;Space;5f978e36-2a17-4c3d-b940-85842c770539;Workspace
